source_file,base_id,type,question,links
file_1.xlsx,0,original,Есть ли денежная компенсация беременным в Тульской области?,"1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,0,synthetic_new_unanswered,Какие документы необходимо предоставить для оформления денежной компенсации беременным в Тульской области?,"1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,0,synthetic_new_unanswered,"Можно ли получить денежную компенсацию беременным женщинам, не зарегистрированным в Тульской области по месту жительства?","1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,0,synthetic_new_unanswered,Какие сроки подачи заявления на получение денежной компенсации для беременных в Тульской области?,"1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,0,synthetic_new_unanswered,"Могут ли беременные женщины получать компенсацию, если их доход превышает установленный лимит?","1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,0,synthetic_new_unanswered,"Есть ли возможность оформить денежную компенсацию в случае, если беременность наступила за границей и женщина вернулась в Тульскую область?","1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,1,original,Как оформить выплату на питание беременным женщинам?,"1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,1,synthetic_new_unanswered,Какие сроки рассмотрения заявления на выплату для беременных женщин?,"1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,1,synthetic_new_unanswered,Можно ли оформить выплату через онлайн-кабинет государственного портала без личного обращения?,"1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,1,synthetic_new_unanswered,"Какие дополнительные документы могут потребоваться, если у беременной женщины есть временная регистрация по месту жительства?","1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,1,synthetic_new_unanswered,"Можно ли получить выплату ранее предполагаемого срока родов, если есть медицинское заключение?","1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,1,synthetic_new_unanswered,Каковы ограничения по доходам для получения выплаты беременным женщинам?,"1.https://docs.cntd.ru/document/412300546
2.https://docs.cntd.ru/document/578192930"
file_1.xlsx,2,original,"Какая сумма выплаты на ребенка рожденного в
г. Тула?","https://docs.cntd.ru/document/406448380
https://docs.cntd.ru/document/406448377"
file_1.xlsx,2,synthetic_new_unanswered,Какие документы необходимо предоставить для получения единовременной выплаты при рождении ребенка в Туле?,"https://docs.cntd.ru/document/406448380
https://docs.cntd.ru/document/406448377"
file_1.xlsx,2,synthetic_new_unanswered,Существует ли ограничение по возрасту родителей для получения выплаты при рождении ребенка в Туле?,"https://docs.cntd.ru/document/406448380
https://docs.cntd.ru/document/406448377"
file_1.xlsx,2,synthetic_new_unanswered,"Можно ли получить единовременную выплату при рождении ребенка, если регистрация родителей временная или не постоянная в Туле?","https://docs.cntd.ru/document/406448380
https://docs.cntd.ru/document/406448377"
file_1.xlsx,2,synthetic_new_unanswered,Как долго нужно подавать заявление на выплату после рождения ребенка в Туле?,"https://docs.cntd.ru/document/406448380
https://docs.cntd.ru/document/406448377"
file_1.xlsx,2,synthetic_new_unanswered,Есть ли разница в размере выплаты для жителей Тулы и других территорий Тульской области?,"https://docs.cntd.ru/document/406448380
https://docs.cntd.ru/document/406448377"
file_1.xlsx,3,original,"Какие документы необходимы для получения выплаты на 3го ребенка, который родился в г. Тула?",
file_1.xlsx,3,synthetic_new_unanswered,"Какие особенности оформления выплаты на третьего ребенка в Туле могут влиять на список документов, если один из родителей является иностранным гражданином?",
file_1.xlsx,3,synthetic_new_unanswered,"Можно ли получить выплату на третьего ребенка, если свидетельство о рождении было оформлено в другом регионе России, но гражданство ребенка – в Туле?",
file_1.xlsx,3,synthetic_new_unanswered,"Существуют ли дополнительные требования или документы для получения выплаты на третьего ребенка, если семья оформлена на официальном месте работы в Туле?",
file_1.xlsx,3,synthetic_new_unanswered,"Какие сроки подачи документов для получения выплаты на третьего ребенка, родившегося в Туле, и есть ли ограничения по времени после рождения?",
file_1.xlsx,3,synthetic_new_unanswered,"Можно ли подать заявление на выплату через онлайн-сервис, если мама и папа проживают в Туле, но прописаны в других регионах?",
file_1.xlsx,4,original,Кому положен материнский (семейный) капитал в Тульской области?,https://docs.cntd.ru/document/407577120
file_1.xlsx,4,synthetic_new_unanswered,Какие документы необходимо предоставить для подтверждения права на материнский капитал в Тульской области?,https://docs.cntd.ru/document/407577120
file_1.xlsx,4,synthetic_new_unanswered,"Можно ли получить маткапитал на второго ребёнка, если он появился после 2012 года, но за ним еще не оформлено право?",https://docs.cntd.ru/document/407577120
file_1.xlsx,4,synthetic_new_unanswered,"В каких случаях право на материнский капитал указывается автоматически, и нужно ли подавать заявление?",https://docs.cntd.ru/document/407577120
file_1.xlsx,4,synthetic_new_unanswered,"Можно ли оформить маткапитал, если ребенок был усыновлен в другом регионе, но проживает в Тульской области?",https://docs.cntd.ru/document/407577120
file_1.xlsx,4,synthetic_new_unanswered,"Какие ограничения по возрасту у детей, рожденных или усыновленных после 2012 года, чтобы их родители могли претендовать на маткапитал?",https://docs.cntd.ru/document/407577120
file_1.xlsx,5,original,Какова сумма материнского (семейного) капитала?,https://docs.cntd.ru/document/407577120
file_1.xlsx,5,synthetic_new_unanswered,Как изменение законодательства повлияло на размер материнского капитала в Тульской области в 2023 году?,https://docs.cntd.ru/document/407577120
